Mesocosm,Treatment,Replicate,Sample,Ochromonas,Rhodomonas,Mesodinium,Microcystis,Cyclotella,Woronichinia,Chlamydomonas,Rimostrombidium,Phaester,Ciliates,Mallomonas,Eudorina,Dolichospermum,Desmodesmus,Merismopedia,Closterium,Cosmarium,Quadrigula,Heliozoa,Tetraedron,Oocystis,Elakatothrix,Ankyra,Koliella,Dolichospermum2,Stephanodiscus,Acanthoceras,Gloeocapsa,Snowella,Cryptomonas,Coelastrum,Chlorophyceae,Chroococcus,Trachelomonas,Ankistrodesmus,Paulschulzsia,Dictyosphaerium,Kirchneriella,Comasiella,Stauridium,Total,No_species,Mesocosm,Treatment,Replicate,Sample,Cyanobacteria,Chlorophyta,Ciliophora,Cryptophyta,Heterokontophyta,Bacillariophyta,Heliozoa,Euglenozoa,Streptophyta,Sum,Mesocosm,Treatment,Replicate,Sample,Cyanobacteria,Chlorophyta,Ciliophora,Cryptophyta,Heterokontophyta,Bacillariophyta,Heliozoa,Euglenozoa,Streptophyta
11,D,3,d21,22,44,2,77,101,32,28,0,2,0,6,87,30,63,77,89,0,30,0,0,30,59,10,4,34,0,0,0,0,61,0,0,4,0,0,18,16,0,0,0,926,24,11,D,3,d21,254,286,2,105,30,101,0,0,148,926,11,D,3,d21,0.274298056,0.308855292,0.002159827,0.113390929,0.032397408,0.109071274,0,0,0.159827214
12,I,3,d21,9,10,0,80,52,80,2,0,16,2,2,40,3,42,54,28,2,26,0,0,37,37,3,21,17,0,0,7,0,40,5,3,0,0,0,16,0,2,0,0,636,27,12,I,3,d21,241,197,2,50,27,52,0,0,67,636,12,I,3,d21,0.378930818,0.309748428,0.003144654,0.078616352,0.04245283,0.081761006,0,0,0.105345912
13,D,4,d21,45,13,0,85,71,80,9,0,9,2,0,56,56,74,85,143,0,22,7,0,74,67,0,25,49,0,0,0,0,18,0,45,0,2,0,16,7,0,0,0,1060,24,13,D,4,d21,355,328,2,31,54,71,7,2,210,1060,13,D,4,d21,0.33490566,0.309433962,0.001886792,0.029245283,0.050943396,0.066981132,0.006603774,0.001886792,0.198113208
14,I,4,d21,64,25,18,74,133,15,74,0,0,0,8,92,0,135,99,69,0,33,0,3,33,69,13,0,31,0,0,0,0,3,3,3,0,5,0,18,0,0,0,0,1020,23,14,I,4,d21,219,407,18,28,72,133,0,5,138,1020,14,I,4,d21,0.214705882,0.399019608,0.017647059,0.02745098,0.070588235,0.130392157,0,0.004901961,0.135294118
15,E,4,d21,108,219,5,86,91,58,28,0,18,0,0,48,0,98,86,40,0,25,0,0,13,23,0,0,55,0,0,5,0,139,8,0,0,0,0,15,3,0,3,0,1174,22,15,E,4,d21,290,241,5,358,126,91,0,0,63,1174,15,E,4,d21,0.247018739,0.20528109,0.004258944,0.304940375,0.107325383,0.077512777,0,0,0.053662692
16,C,4,d21,13,85,0,29,290,22,14,0,22,2,0,5,0,4,72,0,0,91,0,0,2,20,11,0,4,0,11,0,2,0,0,9,0,0,0,0,0,0,0,0,708,19,16,C,4,d21,129,136,2,85,35,301,0,0,20,708,16,C,4,d21,0.18220339,0.192090395,0.002824859,0.120056497,0.049435028,0.425141243,0,0,0.028248588
1,C,1,d38,5,149,2,88,438,88,10,0,0,0,0,103,0,7,88,0,2,20,0,5,10,17,2,0,20,0,0,7,12,20,0,10,0,0,0,2,0,0,2,0,1107,23,1,C,1,d38,303,171,2,169,5,438,0,0,19,1107,1,C,1,d38,0.273712737,0.154471545,0.001806685,0.15266486,0.004516712,0.395663957,0,0,0.017163505
2,D,1,d38,0,54,0,94,485,94,27,0,0,0,0,27,54,2479,94,148,0,0,0,27,499,1064,13,13,13,0,0,13,391,0,13,81,0,0,0,0,108,0,0,0,5791,21,2,D,1,d38,753,3287,0,54,0,485,0,0,1212,5791,2,D,1,d38,0.130029356,0.567604904,0,0.009324814,0,0.083750648,0,0,0.209290278
3,I,1,d38,0,30,0,89,60,89,10,0,40,0,0,129,0,2631,89,10,0,0,10,10,149,576,40,0,50,0,0,0,248,10,50,60,0,0,0,0,40,0,20,0,4440,22,3,I,1,d38,565,3139,0,40,40,60,10,0,586,4440,3,I,1,d38,0.127252252,0.706981982,0,0.009009009,0.009009009,0.013513514,0.002252252,0,0.131981982
4,E,1,d38,0,173,14,77,150,91,14,0,18,0,5,0,0,1315,41,0,0,18,0,5,27,59,18,0,77,0,0,0,55,18,5,14,9,0,0,0,9,0,0,0,2212,22,4,E,1,d38,350,1425,14,191,23,150,0,0,59,2212,4,E,1,d38,0.158227848,0.644213382,0.006329114,0.086347197,0.01039783,0.067811935,0,0,0.026672694
5,I,2,d38,16,127,8,96,247,96,16,0,64,0,0,32,16,876,96,0,8,0,32,8,24,2047,8,0,16,0,0,0,112,8,8,48,8,0,8,0,16,0,0,0,4041,26,5,I,2,d38,440,1044,8,135,80,247,32,0,2055,4041,5,I,2,d38,0.10888394,0.258351893,0.001979708,0.033407572,0.01979708,0.061123484,0.007918832,0,0.508537491
6,E,2,d38,9,334,0,66,122,56,9,0,28,0,5,38,5,1072,89,0,0,71,5,5,52,146,14,0,47,0,0,0,66,28,14,9,9,0,5,14,28,5,14,14,2379,30,6,E,2,d38,338,1364,0,362,42,122,5,0,146,2379,6,E,2,d38,0.142076503,0.573350147,0,0.152164775,0.017654477,0.051282051,0.002101723,0,0.061370324
7,C,2,d38,2,195,5,71,267,64,17,0,14,2,0,29,0,10,83,0,0,21,0,0,36,19,2,0,10,0,0,2,7,21,0,10,0,0,0,14,0,0,2,0,903,23,7,C,2,d38,237,141,7,216,16,267,0,0,19,903,7,C,2,d38,0.262458472,0.156146179,0.007751938,0.239202658,0.017718715,0.295681063,0,0,0.021040975
8,D,2,d38,0,25,11,93,125,93,0,0,14,18,7,0,362,79,93,7,4,0,0,0,36,551,4,32,7,0,0,0,29,39,0,11,0,0,0,0,7,0,4,0,1651,23,8,D,2,d38,677,173,29,64,21,125,0,0,562,1651,8,D,2,d38,0.410054512,0.104784979,0.017565112,0.038764385,0.012719564,0.07571169,0,0,0.340399758
9,E,3,d38,0,352,15,87,117,87,25,0,87,0,0,76,0,1208,97,0,0,5,5,5,25,92,10,0,25,0,0,0,82,15,0,10,15,0,0,0,5,10,0,0,2455,23,9,E,3,d38,393,1379,15,367,87,117,5,0,92,2455,9,E,3,d38,0.160081466,0.561710794,0.00610998,0.149490835,0.035437882,0.047657841,0.00203666,0,0.037474542
10,C,3,d38,0,171,6,88,307,88,48,0,45,0,0,14,0,26,88,0,9,20,20,6,3,199,3,0,65,0,0,3,14,3,0,31,0,0,0,0,0,9,0,0,1266,23,10,C,3,d38,346,160,6,174,45,307,20,0,208,1266,10,C,3,d38,0.273301738,0.126382306,0.004739336,0.137440758,0.035545024,0.242496051,0.015797788,0,0.164296998
11,D,3,d38,0,70,0,97,123,97,0,0,70,0,0,35,185,819,97,79,0,0,53,0,150,1823,0,114,0,0,0,0,97,26,9,26,0,0,0,0,176,0,0,0,4146,19,11,D,3,d38,573,1329,0,96,70,123,53,0,1902,4146,11,D,3,d38,0.138205499,0.320549928,0,0.023154848,0.016883743,0.029667149,0.012783406,0,0.458755427
12,I,3,d38,6,161,0,87,224,87,0,0,130,19,0,143,0,1322,87,19,0,0,6,12,43,292,0,12,81,0,0,0,50,50,19,6,0,0,6,37,50,25,6,0,2980,26,12,I,3,d38,392,1681,19,211,136,224,6,0,311,2980,12,I,3,d38,0.131543624,0.56409396,0.006375839,0.070805369,0.045637584,0.075167785,0.002013423,0,0.104362416
13,D,4,d38,8,86,0,91,96,48,25,0,40,0,0,3,3,362,93,13,5,13,0,5,35,55,0,3,38,0,0,0,28,8,0,13,0,0,3,0,18,0,0,0,1092,24,13,D,4,d38,301,480,0,94,48,96,0,0,73,1092,13,D,4,d38,0.275641026,0.43956044,0,0.086080586,0.043956044,0.087912088,0,0,0.066849817
14,I,4,d38,0,120,0,87,65,87,76,0,76,0,0,130,0,2738,87,22,76,0,0,11,272,1456,0,0,76,0,0,0,65,0,22,22,11,0,0,0,130,0,0,0,5629,20,14,I,4,d38,413,3401,0,120,76,65,0,0,1554,5629,14,I,4,d38,0.073370048,0.604192574,0,0.021318174,0.01350151,0.011547344,0,0,0.27607035
15,E,4,d38,0,282,9,88,176,79,13,0,40,0,4,18,0,1234,88,0,4,4,9,4,40,79,0,0,31,0,0,0,53,22,13,40,4,0,0,9,13,0,9,0,2365,26,15,E,4,d38,343,1397,9,304,44,176,9,0,83,2365,15,E,4,d38,0.145031712,0.590697674,0.003805497,0.128541226,0.018604651,0.074418605,0.003805497,0,0.035095137
16,C,4,d38,0,148,4,88,335,88,18,0,55,11,0,13,4,51,88,0,0,20,4,4,13,37,4,2,11,0,0,0,0,24,0,0,11,0,0,0,0,0,0,0,1033,22,16,C,4,d38,290,125,15,172,55,335,4,0,37,1033,16,C,4,d38,0.280735721,0.121006776,0.014520813,0.166505324,0.053242982,0.324298161,0.003872217,0,0.035818006
