Mesocosm,Treatment,Sample,Ochromonas,Rhodomonas,Mesodinium,Microcystis,Cyclotella,Woronichinia,Chlamydomonas,Rimostrombidium,Phaester,Ciliates,Mallomonas,Eudorina,Dolichospermum,Desmodesmus,Merismopedia,Closterium,Cosmarium,Quadrigula,Heliozoa,Tetraedron,Oocystis,Elakatothrix,Ankyra,Koliella,Dolichospermum2,Stephanodiscus,Acanthoceras,Gloeocapsa,Snowella,Cryptomonas,Coelastrum,Chlorophyceae,Chroococcus,Trachelomonas,Ankistrodesmus,Paulschulzsia,Dictyosphaerium,Kirchneriella,Comasiella,Stauridium,Total,No_species
11,D,d21,22,44,2,77,101,32,28,0,2,0,6,87,30,63,77,89,0,30,0,0,30,59,10,4,34,0,0,0,0,61,0,0,4,0,0,18,16,0,0,0,926,24
12,I,d21,9,10,0,80,52,80,2,0,16,2,2,40,3,42,54,28,2,26,0,0,37,37,3,21,17,0,0,7,0,40,5,3,0,0,0,16,0,2,0,0,636,27
13,D,d21,45,13,0,85,71,80,9,0,9,2,0,56,56,74,85,143,0,22,7,0,74,67,0,25,49,0,0,0,0,18,0,45,0,2,0,16,7,0,0,0,1060,24
14,I,d21,64,25,18,74,133,15,74,0,0,0,8,92,0,135,99,69,0,33,0,3,33,69,13,0,31,0,0,0,0,3,3,3,0,5,0,18,0,0,0,0,1020,23
15,E,d21,108,219,5,86,91,58,28,0,18,0,0,48,0,98,86,40,0,25,0,0,13,23,0,0,55,0,0,5,0,139,8,0,0,0,0,15,3,0,3,0,1174,22
16,C,d21,13,85,0,29,290,22,14,0,22,2,0,5,0,4,72,0,0,91,0,0,2,20,11,0,4,0,11,0,2,0,0,9,0,0,0,0,0,0,0,0,708,19
1,C,d38,5,149,2,88,438,88,10,0,0,0,0,103,0,7,88,0,2,20,0,5,10,17,2,0,20,0,0,7,12,20,0,10,0,0,0,2,0,0,2,0,1107,23
2,D,d38,0,54,0,94,485,94,27,0,0,0,0,27,54,2479,94,148,0,0,0,27,499,1064,13,13,13,0,0,13,391,0,13,81,0,0,0,0,108,0,0,0,5791,21
3,I,d38,0,30,0,89,60,89,10,0,40,0,0,129,0,2631,89,10,0,0,10,10,149,576,40,0,50,0,0,0,248,10,50,60,0,0,0,0,40,0,20,0,4440,22
4,E,d38,0,173,14,77,150,91,14,0,18,0,5,0,0,1315,41,0,0,18,0,5,27,59,18,0,77,0,0,0,55,18,5,14,9,0,0,0,9,0,0,0,2212,22
5,I,d38,16,127,8,96,247,96,16,0,64,0,0,32,16,876,96,0,8,0,32,8,24,2047,8,0,16,0,0,0,112,8,8,48,8,0,8,0,16,0,0,0,4041,26
6,E,d38,9,334,0,66,122,56,9,0,28,0,5,38,5,1072,89,0,0,71,5,5,52,146,14,0,47,0,0,0,66,28,14,9,9,0,5,14,28,5,14,14,2379,30
7,C,d38,2,195,5,71,267,64,17,0,14,2,0,29,0,10,83,0,0,21,0,0,36,19,2,0,10,0,0,2,7,21,0,10,0,0,0,14,0,0,2,0,903,23
8,D,d38,0,25,11,93,125,93,0,0,14,18,7,0,362,79,93,7,4,0,0,0,36,551,4,32,7,0,0,0,29,39,0,11,0,0,0,0,7,0,4,0,1651,23
9,E,d38,0,352,15,87,117,87,25,0,87,0,0,76,0,1208,97,0,0,5,5,5,25,92,10,0,25,0,0,0,82,15,0,10,15,0,0,0,5,10,0,0,2455,23
10,C,d38,0,171,6,88,307,88,48,0,45,0,0,14,0,26,88,0,9,20,20,6,3,199,3,0,65,0,0,3,14,3,0,31,0,0,0,0,0,9,0,0,1266,23
11,D,d38,0,70,0,97,123,97,0,0,70,0,0,35,185,819,97,79,0,0,53,0,150,1823,0,114,0,0,0,0,97,26,9,26,0,0,0,0,176,0,0,0,4146,19
12,I,d38,6,161,0,87,224,87,0,0,130,19,0,143,0,1322,87,19,0,0,6,12,43,292,0,12,81,0,0,0,50,50,19,6,0,0,6,37,50,25,6,0,2980,26
13,D,d38,8,86,0,91,96,48,25,0,40,0,0,3,3,362,93,13,5,13,0,5,35,55,0,3,38,0,0,0,28,8,0,13,0,0,3,0,18,0,0,0,1092,24
14,I,d38,0,120,0,87,65,87,76,0,76,0,0,130,0,2738,87,22,76,0,0,11,272,1456,0,0,76,0,0,0,65,0,22,22,11,0,0,0,130,0,0,0,5629,20
15,E,d38,0,282,9,88,176,79,13,0,40,0,4,18,0,1234,88,0,4,4,9,4,40,79,0,0,31,0,0,0,53,22,13,40,4,0,0,9,13,0,9,0,2365,26
16,C,d38,0,148,4,88,335,88,18,0,55,11,0,13,4,51,88,0,0,20,4,4,13,37,4,2,11,0,0,0,0,24,0,0,11,0,0,0,0,0,0,0,1033,22
