Type,Anal.,Sample Name,Sample ID,Treatment,Origin,Originc,Cal. Curve,Manual Dilution,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Mean Area,Conc.,Mean Conc.,Result,NPOC_ppm,TN_ppm,SD Area,SD Conc,Vial,Excluded,Inj. Vol.
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:07,1,1,TN,"0,5596","0,5223","0,06584","0,06458",NPOC:1.532 TN:0.06458,1.532,0.06458,"0,08809","0,00298",4,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:10,1,2,TN,"0,5856","0,5223","0,06672","0,06458",NPOC:1.532 TN:0.06458,1.532,0.06458,"0,08809","0,00298",4,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:13,1,3,TN,"0,4217","0,5223","0,06118","0,06458",NPOC:1.532 TN:0.06458,1.532,0.06458,"0,08809","0,00298",4,0,150
Unknown,NPOC/TN,"aniontd2 0,905pppmN","aniontd2 0,905pppmN",Calib1_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 16:19,1,1,NPOC,"2,350","2,599","0,8317","0,8475",NPOC:0.8475 TN:0.7751,0.8475,0.7751,"0,2465","0,01574",5,0,150
Unknown,NPOC/TN,"aniontd2 0,905pppmN","aniontd2 0,905pppmN",Calib1_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 16:23,1,2,NPOC,"2,603","2,599","0,8478","0,8475",NPOC:0.8475 TN:0.7751,0.8475,0.7751,"0,2465","0,01574",5,0,150
Unknown,NPOC/TN,"aniontd2 0,905pppmN","aniontd2 0,905pppmN",Calib1_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 16:27,1,3,NPOC,"2,843","2,599","0,8631","0,8475",NPOC:0.8475 TN:0.7751,0.8475,0.7751,"0,2465","0,01574",5,0,150
Unknown,NPOC/TN,"aniontd2 0,905pppmN","aniontd2 0,905pppmN",Calib1_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:19,1,1,TN,"21,24","21,55","0,7645","0,7751",NPOC:0.8475 TN:0.7751,0.8475,0.7751,"0,3371","0,01139",5,0,150
Unknown,NPOC/TN,"aniontd2 0,905pppmN","aniontd2 0,905pppmN",Calib1_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:23,1,2,TN,"21,91","21,55","0,7872","0,7751",NPOC:0.8475 TN:0.7751,0.8475,0.7751,"0,3371","0,01139",5,0,150
Unknown,NPOC/TN,"aniontd2 0,905pppmN","aniontd2 0,905pppmN",Calib1_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:27,1,3,TN,"21,51","21,55","0,7736","0,7751",NPOC:0.8475 TN:0.7751,0.8475,0.7751,"0,3371","0,01139",5,0,150
Unknown,NPOC/TN,"NH4Cl 0,967ppm N","NH4Cl 0,967ppm N",Calib2_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 16:33,1,1,NPOC,"2,642","2,600","0,8503","0,8476",NPOC:0.8476 TN:0.9388,0.8476,0.9388,"0,09986","0,00638",6,0,150
